,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Vicente Guerrero,MX,72.79,broken clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
266,Machali,CL,76.28,clear sky,-34.1833,-70.6667,Mining House
268,Meulaboh,ID,75.47,overcast clouds,4.1363,96.1285,Kost Pria
269,Mushie,CD,73.4,broken clouds,-3.0167,16.9,
270,Salinas,US,69.89,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
273,Alyangula,AU,82.71,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
274,Hualmay,PE,64.98,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
275,Tezu,IN,67.73,clear sky,27.9167,96.1667,Circuit House
280,Labuhan,ID,78.49,light rain,-6.8844,112.2051,DoubleFAG
281,Ancud,CL,64.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
282,Siocon,PH,79.14,overcast clouds,7.7061,122.1353,ABS Hotel
283,Hervey Bay,AU,68.02,light rain,-25.2986,152.8535,Shelly Bay Resort
285,Alugan,PH,78.24,heavy intensity rain,12.2188,125.4808,JM Lodge
286,Lagunas,PE,83.01,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
287,Kutum,SD,76.03,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
288,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
289,Algiers,DZ,67.82,overcast clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
290,Flinders,AU,63.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
291,Wukari,NG,75.99,overcast clouds,7.85,9.7833,Elimtop
294,Hanna,CA,63.86,scattered clouds,51.6334,-111.9018,West View Motel
295,Clovis,US,82.47,few clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
296,Novo Aripuana,BR,78.94,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
297,Grabouw,ZA,62.47,light rain,-34.1515,19.0151,Belfield Wines and Farm Cottages
298,Kalemie,CD,69.62,broken clouds,-5.9475,29.1947,Mahobilali
299,Manokwari,ID,80.13,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
300,Terrace,CA,66.11,clear sky,54.5163,-128.6035,Northern Motor Inn
301,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
302,Sai Buri,TH,76.71,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
304,Carlsbad,US,76.77,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
306,Along,IN,60.62,clear sky,28.1667,94.7667,Hotel West
310,Guerrero Negro,MX,73.94,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
311,Kalmunai,LK,76.69,overcast clouds,7.4167,81.8167,VS Villa
312,Raja Jang,PK,71.73,clear sky,31.2208,74.2519,Rana irfan home
313,Mbandaka,CD,72.23,scattered clouds,0.0487,18.2603,Guest House Epervier
314,Fremont,US,74.37,overcast clouds,37.5483,-121.9886,Best Western Plus Garden Court Inn
316,Tautira,PF,77.07,clear sky,-17.7333,-149.15,Pension Oaoa
318,Kirakira,SB,84.33,overcast clouds,-10.4544,161.9205,SanBiz Lodge
321,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
323,Kokoda,PG,80.6,overcast clouds,-8.8785,147.7407,Daito Guest House
324,Uthal,PK,79.72,clear sky,25.8072,66.6219,Al-Mustafa Hotel
325,Arlit,NE,87.3,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
326,Morant Bay,JM,85.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
327,Panzhihua,CN,60.08,overcast clouds,26.5851,101.7128,Electric Power Hotel
330,Tanta,EG,70.0,clear sky,30.7885,31.0019,Hesham & Fouad Pharma Group Pharmacies
332,Margate,GB,60.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
334,Airai,TL,62.64,broken clouds,-8.9266,125.4092,
336,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
341,Vila Franca Do Campo,PT,66.61,light rain,37.7167,-25.4333,Pestana Bahia Praia
342,Pangkalanbuun,ID,74.61,light rain,-2.6833,111.6167,Grand Kecubung Hotel
345,Miandrivazo,MG,76.15,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
346,San Cristobal,VE,78.98,light rain,7.7669,-72.225,Pirineos
347,Mocoa,CO,75.54,overcast clouds,1.1493,-76.6466,Casita Limon Mandarina
349,Port Blair,IN,78.89,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Mutum,BR,73.58,scattered clouds,-19.8,-41.4383,Hotel do Djalma
351,Polson,US,66.72,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
352,Marsh Harbour,BS,80.26,clear sky,26.5412,-77.0636,Abaco Beach Resort
353,Umm Kaddadah,SD,85.19,few clouds,13.6017,26.6876,
355,Lambarene,GA,73.44,broken clouds,-0.7001,10.2406,Le Refuge
356,Gewane,ET,81.59,clear sky,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
358,Lixourion,GR,67.42,clear sky,38.2019,20.4314,Hotel Summery
360,Bontang,ID,76.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
365,San Carlos De Bariloche,AR,65.44,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
366,Japura,ID,73.04,light rain,-0.3167,102.35,Rumah mbah Jamah
367,Praia Da Vitoria,PT,64.65,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
369,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
370,Caravelas,BR,73.35,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
372,Yumbe,UG,65.08,light rain,3.4651,31.2469,Antonio's Hotel
374,Ewo,CG,71.64,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
377,Smithers,CA,66.52,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
379,Ponta Delgada,PT,66.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
380,Puerto Escondido,MX,86.83,thunderstorm,15.85,-97.0667,Aldea del Bazar Hotel and Spa
382,San Fernando,PH,78.53,overcast clouds,15.0286,120.6898,Maharlika Hostel
383,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
384,Ahuimanu,US,85.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
386,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
388,Ketchikan,US,64.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
389,Beibei,CN,65.37,scattered clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
391,Tabou,CI,76.17,overcast clouds,4.423,-7.3528,hotêl doufoulougou
392,Palmer,US,60.35,scattered clouds,42.1584,-72.3287,Wedgewood Motel
395,Bang Saphan,TH,72.88,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
396,Nelson Bay,AU,66.25,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
397,Moses Lake,US,80.89,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
399,Chimoio,MZ,66.06,scattered clouds,-19.1164,33.4833,Residencial Dabhad
401,Cabra,ES,73.36,light rain,37.4725,-4.4421,MS Fuente Las Piedras
402,San Joaquin,US,75.27,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
403,Mae Hong Son,TH,71.74,mist,19.3003,97.9685,Baiyoke Chalet Hotel
404,Kindia,GN,69.73,moderate rain,10.0569,-12.8658,LES EAUX DE KILISSI
405,Contamana,PE,89.51,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
406,Portland,US,88.52,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
407,West Wendover,US,66.49,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
412,Ati,TD,89.28,clear sky,13.2154,18.3353,
413,Asfi,MA,71.22,clear sky,32.2994,-9.2372,Hôtel Abda
414,Vangaindrano,MG,66.31,clear sky,-23.35,47.6,Hotel Fanilo
415,Esperantina,BR,85.06,overcast clouds,-3.9017,-42.2336,Hotel Bela Vista
416,Kieta,PG,82.9,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
417,Grand Gaube,MU,72.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
418,Rio Gallegos,AR,64.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
420,Thornbury,GB,60.01,overcast clouds,52.2333,-2.55,Treeopia - Romantic Adult Only Getaway
421,Cozumel,MX,87.87,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
422,Halifax,CA,64.69,overcast clouds,44.6453,-63.5724,Hotel Halifax
423,Sinjar,IQ,74.61,few clouds,36.3209,41.8754,زوماني فون 1
424,Invermere,CA,66.36,few clouds,50.5167,-116.0354,Copper Point Resort
427,Kaeo,NZ,64.33,broken clouds,-35.1,173.7833,Bushido Lodge
428,Kidal,ML,83.98,few clouds,18.4411,1.4078,
429,Poum,NC,75.34,clear sky,-20.2333,164.0167,
430,Biak,ID,76.77,broken clouds,-0.9131,122.8766,Penginapan Kim
431,Nogales,MX,70.25,broken clouds,31.3086,-110.9422,Siesta Motel
432,San Juan Del Sur,NI,80.82,scattered clouds,11.2529,-85.8705,Nuestra Casa
433,Choa Saidan Shah,PK,69.8,clear sky,32.7201,72.9849,Office RFO RM
437,Bin Qirdan,TN,74.1,scattered clouds,33.1378,11.2197,Hôtel Palace
442,Oum Hadjer,TD,87.22,clear sky,13.2954,19.6966,
446,Bogo,PH,78.93,overcast clouds,11.0517,124.0055,Acrige Apartelle
447,Steamboat Springs,US,66.54,clear sky,40.485,-106.8317,Steamboat Grand
450,Albania,AL,61.12,clear sky,41.0,20.0,Bora Homestay
451,Kazerun,IR,72.03,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
452,Ourossogui,SN,82.4,clear sky,15.6064,-13.3211,Hotel welma
453,Tumbes,PE,75.15,scattered clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
454,Rio Branco,BR,79.41,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
457,Gwanda,ZW,66.6,scattered clouds,-20.9333,29.0,Mafax Homeways
458,Mossendjo,CG,68.83,scattered clouds,-2.9506,12.7261,HOTEL D'ASSISE
460,Kawasaki,JP,70.02,broken clouds,35.5206,139.7172,Toyoko INN Kawasaki-Ekimae Shiyakusho-dori
461,Bubaque,GW,81.73,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
462,Santa Barbara,US,71.22,clear sky,34.7333,-120.0343,Upper Ballard Campground
467,Jinxiang,CN,67.62,overcast clouds,27.4327,120.6062,Wolong Village
468,Rawah,IQ,79.32,scattered clouds,34.4816,41.9093,عمر
469,Matiri,TZ,63.23,clear sky,-10.75,34.9,
470,Weligama,LK,75.88,light rain,5.9667,80.4167,Weligama Bay Resort
471,Carutapera,BR,79.47,scattered clouds,-1.195,-46.02,Lidera
472,Morro Bay,US,78.39,clear sky,35.3658,-120.8499,Inn at Morro Bay
476,San Pedro De Macoris,DO,86.13,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
480,Cidreira,BR,64.18,broken clouds,-30.1811,-50.2056,Hotel Castelo
481,Surin,TH,71.98,scattered clouds,14.8818,103.4936,One Fu Hotel
